Layer,Faction 1,Faction 2,Level,Mode,Version
CAF_GooseBay_Invasion_v2,CAF,MIL,GooseBay,Invasion,v2
CAF_GooseBay_RAAS_v1,CAF,RUS,GooseBay,RAAS,v1
CAF_Gorodok_AAS_v1,CAF,RUS,Gorodok,AAS,v1
Gorodok_AAS_v1,USA,RUS,Gorodok,AAS,v1
Gorodok_AAS_v2,GBR,RUS,Gorodok,AAS,v2
Gorodok_Destruction_v1,USA,RUS,Gorodok,Destruction,v1
Gorodok_Insurgency_v1,RUS,MIL,Gorodok,Insurgency,v1
CAF_Gorodok_Invasion_v1,CAF,MIL,Gorodok,Invasion,v1
Gorodok_Invasion_v1,USA,RUS,Gorodok,Invasion,v1
Gorodok_Invasion_v2,RUS,MIL,Gorodok,Invasion,v2
CAF_Gorodok_RAAS_v1,CAF,RUS,Gorodok,RAAS,v1
CAF_Gorodok_RAAS_v2,CAF,USA,Gorodok,RAAS,v2
Gorodok_RAAS_v1,USA,RUS,Gorodok,RAAS,v1
Gorodok_RAAS_v2,GBR,RUS,Gorodok,RAAS,v2
Gorodok_RAAS_v3,USA,RUS,Gorodok,RAAS,v3
Gorodok_RAAS_v4,USA,RUS,Gorodok,RAAS,v4
Gorodok_RAAS_v5,USA,RUS,Gorodok,RAAS,v5
CAF_Gorodok_TC_v1,CAF,RUS,Gorodok,TC,v1
Gorodok_TC_v1,USA,RUS,Gorodok,TC,v1
Kamdesh_AAS_v1,GBR,RUS,Kamdesh,AAS,v1
Kamdesh_Insurgency_v1,USA,INS,Kamdesh,Insurgency,v1
Kamdesh_Insurgency_v2,GBR,INS,Kamdesh,Insurgency,v2
CAF_Kamdesh_Invasion_v1,CAF,INS,Kamdesh,Invasion,v1
Kamdesh_Invasion_v1,USA,INS,Kamdesh,Invasion,v1
Kamdesh_Invasion_v2,GBR,INS,Kamdesh,Invasion,v2
Kamdesh_Invasion_v3,USA,INS,Kamdesh,Invasion,v3
CAF_Kamdesh_RAAS_v1,CAF,RUS,Kamdesh,RAAS,v1
Kamdesh_RAAS_v1,MIL,INS,Kamdesh,RAAS,v1
Kamdesh_RAAS_v2,GBR,RUS,Kamdesh,RAAS,v2
Kamdesh_RAAS_v3,USA,MEA,Kamdesh,RAAS,v3
Kamdesh_RAAS_v4,GBR,MEA,Kamdesh,RAAS,v4
CAF_Kamdesh_TC_v1,CAF,RUS,Kamdesh,TC,v1
Kamdesh_TC_v1,GBR,RUS,Kamdesh,TC,v1
Kamdesh_TC_v2,MIL,INS,Kamdesh,TC,v2
Kohat_AAS_v1,USA,MEA,Kohat,AAS,v1
Kohat_AAS_v2,USA,RUS,Kohat,AAS,v2
Kohat_Insurgency_v1,USA,INS,Kohat,Insurgency,v1
CAF_Kohat_Invasion_v1,CAF,INS,Kohat,Invasion,v1
Kohat_Invasion_v1,USA,INS,Kohat,Invasion,v1
Kohat_Invasion_v2,USA,INS,Kohat,Invasion,v2
Kohat_RAAS_v1,USA,RUS,Kohat,RAAS,v1
Kohat_RAAS_v2,GBR,RUS,Kohat,RAAS,v2
Kohat_RAAS_v3,RUS,MEA,Kohat,RAAS,v3
Kohat_RAAS_v4,GBR,RUS,Kohat,RAAS,v4
Kohat_TC_v1,RUS,MEA,Kohat,TC,v1
Kokan_AAS_v1,RUS,MEA,Kokan,AAS,v1
Kokan_AAS_v2,GBR,MEA,Kokan,AAS,v2
Kokan_Insurgency_v1,RUS,INS,Kokan,Insurgency,v1
Kokan_Invasion_v1,RUS,INS,Kokan,Invasion,v1
CAF_Kokan_Valley_RAAS_v1,CAF,MEA,Kokan,RAAS,v1
Kokan_RAAS_v1,RUS,MEA,Kokan,RAAS,v1
Kokan_RAAS_v2,RUS,MEA,Kokan,RAAS,v2
Kokan_TC_v1,USA,MEA,Kokan,TC,v1
LashkarValley_AAS_v1,GBR,RUS,LashkarValley,AAS,v1
LashkarValley_AAS_v2,USA,MEA,LashkarValley,AAS,v2
LashkarValley_Insurgency_v1,USA,INS,LashkarValley,Insurgency,v1
CAF_Lashkar_Valley_Invasion_v1,CAF,INS,LashkarValley,Invasion,v1
LashkarValley_Invasion_v1,USA,INS,LashkarValley,Invasion,v1
CAF_Lashkar_Valley_RAAS_v1,CAF,RUS,LashkarValley,RAAS,v1
LashkarValley_RAAS_v1,USA,MEA,LashkarValley,RAAS,v1
CAF_Lashkar_Valley_TC_v1,CAF,INS,LashkarValley,TC,v1
LashkarValley_TC_v1,GBR,MEA,LashkarValley,TC,v1
LashkarValley_TC_v2,USA,MEA,LashkarValley,TC,v2
LashkarValley_TC_v3,GBR,RUS,LashkarValley,TC,v3
Logar_AAS_v1,RUS,MEA,Logar,AAS,v1
Logar_AAS_v2,USA,MEA,Logar,AAS,v2
Logar_Insurgency_v1,RUS,INS,Logar,Insurgency,v1
CAF_Logar_Valley_RAAS_v1,CAF,MEA,Logar,RAAS,v1
Logar_RAAS_v1,RUS,MEA,Logar,RAAS,v1
Logar_TC_v1,USA,MEA,Logar,TC,v1
CAF_Manic_AAS_v1,CAF,RUS,Manic,AAS,v1
CAF_Manic_AAS_v2,CAF,RUS,Manic,AAS,v2
CAF_Manic_Invasion_v1,CAF,MEA,Manic,Invasion,v1
CAF_Manic_Invasion_v2,CAF,USA,Manic,Invasion,v2
CAF_Manic_RAAS_v1,CAF,RUS,Manic,RAAS,v1
CAF_Manic_RAAS_v2,CAF,MEA,Manic,RAAS,v2
CAF_Manic_RAAS_v3,CAF,RUS,Manic,RAAS,v3
CAF_Manic_RAAS_v4,CAF,RUS,Manic,RAAS,v4
CAF_Manic_TC_v2,CAF,RUS,Manic,TC,v2
Mestia_AAS_V1,RUS,MEA,Mestia,AAS,v1
Mestia_AAS_V2,USA,RUS,Mestia,AAS,v2
Mestia_Invasion_V1,RUS,MEA,Mestia,Invasion,V1
Mestia_Invasion_V2,USA,MEA,Mestia,Invasion,V2
CAF_Mestia_RAAS_v1,CAF,RUS,Mestia,RAAS,v1
Mestia_RAAS_v1,USA,MEA,Mestia,RAAS,v1
Mestia_TC_v1,USA,RUS,Mestia,TC,v1
CAF_Mutaha_AAS_v1,CAF,RUS,Mutaha,AAS,v1
Mutaha_AAS_v1,USA,RUS,Mutaha,AAS,v1
Mutaha_AAS_v2,GBR,RUS,Mutaha,AAS,v2
CAF_Mutaha_Invasion_v1,CAF,INS,Mutaha,Invasion,v1
Mutaha_Invasion_v1,GBR,INS,Mutaha,Invasion,v1
Mutaha_Invasion_v2,GBR,INS,Mutaha,Invasion,v2
CAF_Mutaha_RAAS_v1,CAF,RUS,Mutaha,RAAS,v1
CAF_Mutaha_RAAS_v2,CAF,MEA,Mutaha,RAAS,v2
Mutaha_RAAS_v1,USA,MEA,Mutaha,RAAS,v1
Mutaha_TC_v1,USA,RUS,Mutaha,TC,v1
Mutaha_TC_v2,USA,MEA,Mutaha,TC,v2
Narva_AAS_v1,USA,RUS,Narva,AAS,v1
Narva_AAS_v2,GBR,RUS,Narva,AAS,v2
Narva_AAS_v3,USA,RUS,Narva,AAS,v3
Narva_Destruction_v1,RUS,USA,Narva,Destruction,v1
CAF_Narva_Invasion_v1,CAF,MEA,Narva,Invasion,v1
Narva_Invasion_v1,USA,RUS,Narva,Invasion,v1
Narva_Invasion_v2,GBR,RUS,Narva,Invasion,v2
CAF_Narva_RAAS_v1,CAF,RUS,Narva,RAAS,v1
Narva_RAAS_v1,USA,RUS,Narva,RAAS,v1
Narva_TC_v1,USA,RUS,Narva,TC,v1
Narva_TC_v2,USA,RUS,Narva,TC,v2
Skorpo_AAS_v1,USA,RUS,Skorpo,AAS,v1
Skorpo_Invasion_v1,USA,MIL,Skorpo,Invasion,v1
Skorpo_Invasion_v2,RUS,MEA,Skorpo,Invasion,v2
CAF_Skorpo_RAAS_v1,CAF,RUS,Skorpo,RAAS,v1
Skorpo_RAAS_v1,USA,RUS,Skorpo,RAAS,v1
Skorpo_RAAS_v2,USA,RUS,Skorpo,RAAS,v2
Skorpo_RAAS_v3,USA,MEA,Skorpo,RAAS,v3
Skorpo_RAAS_v4,USA,RUS,Skorpo,RAAS,v4
Skorpo_TC_v1,USA,RUS,Skorpo,TC,v1
Skorpo_TC_v2,USA,RUS,Skorpo,TC,v2
Skorpo_TC_v3,USA,RUS,Skorpo,TC,v3
CAF_Sumari_AAS_v1,CAF,MEA,Sumari,AAS,v1
Sumari_AAS_v1,GBR,MEA,Sumari,AAS,v1
Sumari_AAS_v2,USA,RUS,Sumari,AAS,v2
Sumari_Insurgency_v1,USA,INS,Sumari,Insurgency,v1
Sumari_Invasion_v1,USA,INS,Sumari,Invasion,v1
Sumari_RAAS_v1,USA,MEA,Sumari,RAAS,v1
Sumari_RAAS_v2,GBR,MEA,Sumari,RAAS,v2
Sumari_TC_v1,USA,MEA,Sumari,TC,v1
Tallil_AAS_v1,USA,RUS,Tallil,AAS,v1
Tallil_AAS_v2,USA,MEA,Tallil,AAS,v2
Tallil_Invasion_v1,USA,RUS,Tallil,Invasion,v1
Tallil_Invasion_v2,RUS,INS,Tallil,Invasion,v2
Tallil_Invasion_v3,USA,INS,Tallil,Invasion,v3
CAF_Tallil_Outskirts_RAAS_v1,CAF,RUS,Tallil,RAAS,v1
CAF_Tallil_Outskirts_RAAS_v2,CAF,MEA,Tallil,RAAS,v2
Tallil_RAAS_v1,USA,MEA,Tallil,RAAS,v1
Tallil_RAAS_v2,USA,MEA,Tallil,RAAS,v2
Tallil_RAAS_v3,USA,RUS,Tallil,RAAS,v3
Tallil_RAAS_v4,GBR,RUS,Tallil,RAAS,v4
Tallil_Tanks_v1,USA,MEA,Tallil,Tanks,v1
Tallil_Tanks_v2,USA,RUS,Tallil,Tanks,v2
Tallil_TC_v1,USA,RUS,Tallil,TC,v1
Yehorivka_AAS_v1,GBR,RUS,Yehorivka,AAS,v1
Yehorivka_AAS_v2,USA,RUS,Yehorivka,AAS,v2
Yehorivka_Destruction_v1,USA,RUS,Yehorivka,Destruction,v1
CAF_Yehorivka_Invasion_v1,CAF,MIL,Yehorivka,Invasion,v1
Yehorivka_Invasion_v1,GBR,MIL,Yehorivka,Invasion,v1
Yehorivka_Invasion_v2,USA,RUS,Yehorivka,Invasion,v2
CAF_Yehorivka_RAAS_v1,CAF,RUS,Yehorivka,RAAS,v1
CAF_Yehorivka_RAAS_v2,CAF,RUS,Yehorivka,RAAS,v2
Yehorivka_RAAS_v1,USA,RUS,Yehorivka,RAAS,v1
Yehorivka_RAAS_v2,USA,RUS,Yehorivka,RAAS,v2
Yehorivka_RAAS_v3,GBR,RUS,Yehorivka,RAAS,v3
Yehorivka_RAAS_v4,USA,RUS,Yehorivka,RAAS,v4
Yehorivka_RAAS_v5,USA,RUS,Yehorivka,RAAS,v5
CAF_Yehorivka_TC_v2,CAF,RUS,Yehorivka,TC,v2
Yehorivka_TC_v1,USA,RUS,Yehorivka,TC,v1
Yehorivka_TC_V2,USA,RUS,Yehorivka,TC,V2
